,match,bowlingTeam,bowler,overs,maiden,runs,wicktes,economy,zeros,fours,sixex,wides,noBalls,match_id
464,Zimbabwe Vs Ireland,Ireland,Sikandar Raza,3,0,22,1,7.33,8,1,1,1,0,T20I # 1828
465,Scotland Vs West Indies,Scotland,Kyle Mayers,2,0,24,0,12,5,5,0,2,0,T20I # 1826
466,Scotland Vs West Indies,Scotland,Akeal Hosein,4,0,31,0,7.75,8,2,1,0,0,T20I # 1826
467,Scotland Vs West Indies,Scotland,Alzarri Joseph,4,0,28,2,7,9,3,0,2,0,T20I # 1826
468,Scotland Vs West Indies,Scotland,Obed McCoy,3,0,25,0,8.33,6,4,0,0,0,T20I # 1826
469,Scotland Vs West Indies,Scotland,Jason Holder,3,0,14,2,4.66,8,1,0,0,0,T20I # 1826
470,Scotland Vs West Indies,Scotland,Odean Smith,4,0,31,1,7.75,6,3,0,1,0,T20I # 1826
471,Scotland Vs West Indies,West Indies,Mark Watt,4,0,12,3,3,16,1,0,1,0,T20I # 1826
472,Scotland Vs West Indies,West Indies,Brad Wheal,4,0,32,2,8,10,4,1,0,0,T20I # 1826
473,Scotland Vs West Indies,West Indies,Josh Davey,3,0,34,1,11.33,8,4,2,1,0,T20I # 1826
474,Scotland Vs West Indies,West Indies,Safyaan Sharif,3.3,0,23,1,6.57,7,2,0,2,0,T20I # 1826
475,Scotland Vs West Indies,West Indies,Michael Leask,4,0,15,2,3.75,11,0,0,1,0,T20I # 1826
476,United Arab Emirates Vs Netherlands,United Arab Emirates,Fred Klaassen,4,0,13,2,3.25,18,0,0,3,0,T20I # 1825
477,United Arab Emirates Vs Netherlands,United Arab Emirates,Tim Pringle,4,0,13,1,3.25,11,0,0,0,0,T20I # 1825
478,United Arab Emirates Vs Netherlands,United Arab Emirates,Logan van Beek,2,0,19,0,9.5,5,0,2,1,0,T20I # 1825
479,United Arab Emirates Vs Netherlands,United Arab Emirates,Bas de Leede,3,0,19,3,6.33,9,2,0,2,0,T20I # 1825
480,United Arab Emirates Vs Netherlands,United Arab Emirates,Paul van Meekeren,4,0,21,0,5.25,11,1,0,0,0,T20I # 1825
481,United Arab Emirates Vs Netherlands,United Arab Emirates,Roelof van der Merwe,3,0,19,1,6.33,7,0,1,0,0,T20I # 1825
482,United Arab Emirates Vs Netherlands,Netherlands,Junaid Siddique,4,0,24,3,6,10,2,0,1,0,T20I # 1825
483,United Arab Emirates Vs Netherlands,Netherlands,Basil Hameed,1,0,7,1,7,4,0,1,0,0,T20I # 1825
484,United Arab Emirates Vs Netherlands,Netherlands,Aayan Afzal Khan,3,0,15,1,5,8,1,0,0,0,T20I # 1825
485,United Arab Emirates Vs Netherlands,Netherlands,Karthik Meiyappan,4,0,22,1,5.5,11,2,0,0,0,T20I # 1825
486,United Arab Emirates Vs Netherlands,Netherlands,Zahoor Khan,4,0,11,1,2.75,14,0,0,0,0,T20I # 1825
487,United Arab Emirates Vs Netherlands,Netherlands,Zawar Farid,2.5,0,24,0,8.47,2,2,0,0,0,T20I # 1825
488,United Arab Emirates Vs Netherlands,Netherlands,Kashif Daud,1,0,5,0,5,1,0,0,0,0,T20I # 1825
489,Namibia Vs Sri Lanka,Namibia,Maheesh Theekshana,4,0,23,1,5.75,7,0,0,2,0,T20I # 1825
490,Namibia Vs Sri Lanka,Namibia,Dushmantha Chameera,4,0,39,1,9.75,6,3,1,2,0,T20I # 1825
491,Namibia Vs Sri Lanka,Namibia,Pramod Madushan,4,0,37,2,9.25,6,3,1,0,0,T20I # 1825
492,Namibia Vs Sri Lanka,Namibia,Chamika Karunaratne,4,0,36,1,9,7,3,1,1,0,T20I # 1825
493,Namibia Vs Sri Lanka,Namibia,Wanindu Hasaranga,4,0,27,1,6.75,8,1,1,0,0,T20I # 1825
494,Namibia Vs Sri Lanka,Sri Lanka,Gerhard Erasmus,1,0,8,0,8,1,1,0,0,0,T20I # 1825
495,Namibia Vs Sri Lanka,Sri Lanka,David Wiese,4,0,16,2,4,13,1,0,0,0,T20I # 1823
496,Namibia Vs Sri Lanka,Sri Lanka,Bernard Scholtz,4,0,18,2,4.5,10,1,0,0,0,T20I # 1823
497,Namibia Vs Sri Lanka,Sri Lanka,Ben Shikongo,3,1,22,2,7.33,6,3,0,0,0,T20I # 1823
498,Namibia Vs Sri Lanka,Sri Lanka,JJ Smit,3,0,16,1,5.33,7,0,0,1,0,T20I # 1823
499,Namibia Vs Sri Lanka,Sri Lanka,Jan Frylinck,4,0,26,2,6.5,10,0,2,1,0,T20I # 1823
