,match,bowlingTeam,bowler,overs,maiden,runs,wicktes,economy,zeros,fours,sixex,wides,noBalls,match_id
55,Bangladesh Vs Pakistan,Pakistan,Nasum Ahmed,4,0,14,1,3.5,13,0,0,2,0,T20I # 1872
56,Bangladesh Vs Pakistan,Pakistan,Shakib Al Hasan,4,0,35,1,8.75,6,5,0,0,0,T20I # 1872
57,Bangladesh Vs Pakistan,Pakistan,Mustafizur Rahman,4,0,21,1,5.25,8,0,0,0,0,T20I # 1872
58,Bangladesh Vs Pakistan,Pakistan,Ebadot Hossain,3.1,0,25,1,7.89,7,1,1,0,1,T20I # 1872
59,Netherlands Vs South Africa,Netherlands,Wayne Parnell,4,0,32,0,8,10,2,2,1,0,T20I # 1871
60,Netherlands Vs South Africa,Netherlands,Kagiso Rabada,3,0,37,0,12.33,6,7,0,0,0,T20I # 1871
61,Netherlands Vs South Africa,Netherlands,Lungi Ngidi,3,0,35,0,11.66,3,5,0,0,0,T20I # 1871
62,Netherlands Vs South Africa,Netherlands,Anrich Nortje,4,0,10,1,2.5,14,0,0,0,0,T20I # 1871
63,Netherlands Vs South Africa,Netherlands,Keshav Maharaj,4,0,27,2,6.75,12,1,2,0,0,T20I # 1871
64,Netherlands Vs South Africa,Netherlands,Aiden Markram,2,0,16,1,8,3,0,1,1,0,T20I # 1871
65,Netherlands Vs South Africa,South Africa,Fred Klaassen,4,0,20,2,5,15,3,0,0,0,T20I # 1871
66,Netherlands Vs South Africa,South Africa,Paul van Meekeren,3,0,33,1,11,5,1,2,1,1,T20I # 1871
67,Netherlands Vs South Africa,South Africa,Colin Ackermann,3,0,16,0,5.33,6,1,0,0,0,T20I # 1871
68,Netherlands Vs South Africa,South Africa,Roelof van der Merwe,2,0,19,0,9.5,2,2,0,0,0,T20I # 1871
69,Netherlands Vs South Africa,South Africa,Brandon Glover,2,0,9,3,4.5,5,0,0,1,0,T20I # 1871
70,Netherlands Vs South Africa,South Africa,Logan van Beek,3,0,23,0,7.66,4,1,1,0,0,T20I # 1871
71,Netherlands Vs South Africa,South Africa,Bas de Leede,3,0,25,2,8.33,4,1,0,1,2,T20I # 1871
72,Sri Lanka Vs England,Sri Lanka,Ben Stokes,3,0,24,1,8,8,1,2,0,0,T20I # 1867
73,Sri Lanka Vs England,Sri Lanka,Chris Woakes,3,0,24,1,8,5,3,0,1,0,T20I # 1867
74,Sri Lanka Vs England,Sri Lanka,Mark Wood,3,0,26,3,8.66,8,1,2,1,0,T20I # 1867
75,Sri Lanka Vs England,Sri Lanka,Sam Curran,4,0,27,1,6.75,10,2,1,0,0,T20I # 1867
76,Sri Lanka Vs England,Sri Lanka,Adil Rashid,4,0,16,1,4,11,0,0,0,0,T20I # 1867
77,Sri Lanka Vs England,Sri Lanka,Liam Livingstone,2,0,16,0,8,2,0,1,0,0,T20I # 1867
78,Sri Lanka Vs England,Sri Lanka,Moeen Ali,1,0,5,0,5,1,0,0,0,0,T20I # 1867
79,Sri Lanka Vs England,England,Maheesh Theekshana,4,0,22,0,5.5,11,1,0,1,0,T20I # 1867
80,Sri Lanka Vs England,England,Kasun Rajitha,3,0,40,0,13.33,4,5,1,2,0,T20I # 1867
81,Sri Lanka Vs England,England,Lahiru Kumara,3.4,0,24,2,6.54,11,3,0,0,1,T20I # 1867
82,Sri Lanka Vs England,England,Wanindu Hasaranga,4,0,23,2,5.75,11,1,1,0,0,T20I # 1867
83,Sri Lanka Vs England,England,Dhananjaya de Silva,4,0,24,2,6,7,1,0,0,0,T20I # 1867
84,Sri Lanka Vs England,England,Charith Asalanka,1,0,8,0,8,1,1,0,0,0,T20I # 1867
85,Australia Vs Afghanistan,Australia,Fazalhaq Farooqi,4,0,29,2,7.25,13,4,1,0,0,T20I # 1864
86,Australia Vs Afghanistan,Australia,Mujeeb Ur Rahman,4,0,42,1,10.5,5,4,1,1,0,T20I # 1864
87,Australia Vs Afghanistan,Australia,Naveen-ul-Haq,4,0,21,3,5.25,11,2,0,0,0,T20I # 1864
88,Australia Vs Afghanistan,Australia,Gulbadin Naib,3,0,31,0,10.33,6,3,2,0,0,T20I # 1864
