,match,team,batting_Pos,batsman,out/not out,run,ball,m,fours,sixes,strike_rate,match_id
59,Bangladesh Vs Pakistan,Bangladesh,5,Afif Hossain,not out,24,20,47,3,0,120,T20I # 1872
60,Bangladesh Vs Pakistan,Bangladesh,6,Mosaddek Hossain,out,5,11,17,0,0,45.45,T20I # 1872
61,Bangladesh Vs Pakistan,Bangladesh,7,Nurul Hasan †,out,0,3,4,0,0,0,T20I # 1872
62,Bangladesh Vs Pakistan,Bangladesh,8,Taskin Ahmed,out,1,5,8,0,0,20,T20I # 1872
63,Bangladesh Vs Pakistan,Bangladesh,9,Nasum Ahmed,out,7,6,9,1,0,116.66,T20I # 1872
64,Bangladesh Vs Pakistan,Bangladesh,10,Mustafizur Rahman,not out,0,1,1,0,0,0,T20I # 1872
65,Bangladesh Vs Pakistan,Pakistan,1,Mohammad Rizwan †,out,32,32,51,2,1,100,T20I # 1872
66,Bangladesh Vs Pakistan,Pakistan,2,Babar Azam (c),out,25,33,46,2,0,75.75,T20I # 1872
67,Bangladesh Vs Pakistan,Pakistan,3,Mohammad Nawaz,out,4,11,27,0,0,36.36,T20I # 1872
68,Bangladesh Vs Pakistan,Pakistan,4,Mohammad Haris,out,31,18,31,1,2,172.22,T20I # 1872
69,Bangladesh Vs Pakistan,Pakistan,5,Shan Masood,not out,24,14,20,2,0,171.42,T20I # 1872
70,Bangladesh Vs Pakistan,Pakistan,6,Iftikhar Ahmed,out,1,3,8,0,0,33.33,T20I # 1872
71,Bangladesh Vs Pakistan,Pakistan,7,Shadab Khan,not out,0,0,2,0,0,-,T20I # 1872
72,Netherlands Vs South Africa,Netherlands,1,Stephan Myburgh,out,37,30,41,7,0,123.33,T20I # 1871
73,Netherlands Vs South Africa,Netherlands,2,Max O'Dowd,out,29,31,61,1,1,93.54,T20I # 1871
74,Netherlands Vs South Africa,Netherlands,3,Tom Cooper,out,35,19,30,2,2,184.21,T20I # 1871
75,Netherlands Vs South Africa,Netherlands,4,Colin Ackermann,not out,41,26,31,3,2,157.69,T20I # 1871
76,Netherlands Vs South Africa,Netherlands,5,Bas de Leede,out,1,7,11,0,0,14.28,T20I # 1871
77,Netherlands Vs South Africa,Netherlands,6,Scott Edwards (c)†,not out,12,7,11,2,0,171.42,T20I # 1871
78,Netherlands Vs South Africa,South Africa,1,Quinton de Kock †,out,13,13,12,1,1,100,T20I # 1871
79,Netherlands Vs South Africa,South Africa,2,Temba Bavuma (c),out,20,20,26,2,0,100,T20I # 1871
80,Netherlands Vs South Africa,South Africa,3,Rilee Rossouw,out,25,19,29,2,0,131.57,T20I # 1871
81,Netherlands Vs South Africa,South Africa,4,Aiden Markram,out,17,13,30,2,0,130.76,T20I # 1871
82,Netherlands Vs South Africa,South Africa,5,David Miller,out,17,17,28,1,0,100,T20I # 1871
83,Netherlands Vs South Africa,South Africa,6,Heinrich Klaasen,out,21,18,27,0,1,116.66,T20I # 1871
84,Netherlands Vs South Africa,South Africa,7,Wayne Parnell,out,0,2,3,0,0,0,T20I # 1871
85,Netherlands Vs South Africa,South Africa,8,Keshav Maharaj,out,13,12,20,0,1,108.33,T20I # 1871
86,Netherlands Vs South Africa,South Africa,9,Kagiso Rabada,not out,9,8,13,0,0,112.5,T20I # 1871
87,Netherlands Vs South Africa,South Africa,10,Anrich Nortje,not out,4,1,2,1,0,400,T20I # 1871
88,Sri Lanka Vs England,Sri Lanka,1,Pathum Nissanka,out,67,45,70,2,5,148.88,T20I # 1867
89,Sri Lanka Vs England,Sri Lanka,2,Kusal Mendis †,out,18,14,21,1,1,128.57,T20I # 1867
90,Sri Lanka Vs England,Sri Lanka,3,Dhananjaya de Silva,out,9,11,17,0,0,81.81,T20I # 1867
91,Sri Lanka Vs England,Sri Lanka,4,Charith Asalanka,out,8,9,15,0,0,88.88,T20I # 1867
92,Sri Lanka Vs England,Sri Lanka,5,Bhanuka Rajapaksa,out,22,22,41,3,0,100,T20I # 1867
93,Sri Lanka Vs England,Sri Lanka,6,Dasun Shanaka (c),out,3,8,12,0,0,37.5,T20I # 1867
94,Sri Lanka Vs England,Sri Lanka,7,Wanindu Hasaranga,out,9,9,13,1,0,100,T20I # 1867
95,Sri Lanka Vs England,Sri Lanka,8,Chamika Karunaratne,out,0,2,3,0,0,0,T20I # 1867
96,Sri Lanka Vs England,Sri Lanka,9,Maheesh Theekshana,not out,0,0,2,0,0,-,T20I # 1867
97,Sri Lanka Vs England,England,1,Jos Buttler (c)†,out,28,23,35,2,1,121.73,T20I # 1867
98,Sri Lanka Vs England,England,2,Alex Hales,out,47,30,42,7,1,156.66,T20I # 1867
99,Sri Lanka Vs England,England,3,Ben Stokes,not out,42,36,59,2,0,116.66,T20I # 1867
100,Sri Lanka Vs England,England,4,Harry Brook,out,4,5,9,0,0,80,T20I # 1867
101,Sri Lanka Vs England,England,5,Liam Livingstone,out,4,6,10,0,0,66.66,T20I # 1867
102,Sri Lanka Vs England,England,6,Moeen Ali,out,1,5,8,0,0,20,T20I # 1867
103,Sri Lanka Vs England,England,7,Sam Curran,out,6,11,16,0,0,54.54,T20I # 1867
104,Sri Lanka Vs England,England,8,Chris Woakes,not out,5,3,11,1,0,166.66,T20I # 1867
105,Australia Vs Afghanistan,Australia,1,David Warner,out,25,18,28,5,0,138.88,T20I # 1864
106,Australia Vs Afghanistan,Australia,2,Cameron Green,out,3,2,12,0,0,150,T20I # 1864
107,Australia Vs Afghanistan,Australia,3,Mitchell Marsh,out,45,30,42,3,2,150,T20I # 1864
108,Australia Vs Afghanistan,Australia,4,Steven Smith,out,4,4,6,1,0,100,T20I # 1864
109,Australia Vs Afghanistan,Australia,5,Marcus Stoinis,out,25,21,41,0,2,119.04,T20I # 1864
110,Australia Vs Afghanistan,Australia,6,Glenn Maxwell,not out,54,32,46,6,2,168.75,T20I # 1864
111,Australia Vs Afghanistan,Australia,7,Matthew Wade (c)†,out,6,8,14,1,0,75,T20I # 1864
112,Australia Vs Afghanistan,Australia,8,Pat Cummins,out,0,2,4,0,0,0,T20I # 1864
113,Australia Vs Afghanistan,Australia,9,Kane Richardson,out,1,1,6,0,0,100,T20I # 1864
114,Australia Vs Afghanistan,Australia,10,Adam Zampa,not out,1,1,5,0,0,100,T20I # 1864
115,Australia Vs Afghanistan,Afghanistan,1,Rahmanullah Gurbaz †,out,30,17,31,2,2,176.47,T20I # 1864
116,Australia Vs Afghanistan,Afghanistan,2,Usman Ghani,out,2,7,16,0,0,28.57,T20I # 1864
117,Australia Vs Afghanistan,Afghanistan,3,Ibrahim Zadran,out,26,33,55,2,0,78.78,T20I # 1864
118,Australia Vs Afghanistan,Afghanistan,4,Gulbadin Naib,out,39,23,38,3,2,169.56,T20I # 1864
119,Australia Vs Afghanistan,Afghanistan,5,Mohammad Nabi (c),out,1,2,10,0,0,50,T20I # 1864
