,match,bowlingTeam,bowler,overs,maiden,runs,wicktes,economy,zeros,fours,sixex,wides,noBalls
40,India Vs Zimbabwe,India,Sikandar Raza,3,0,18,1,6.00,5,0,1,0,0
41,India Vs Zimbabwe,India,Sean Williams,2,0,9,2,4.50,6,0,0,2,0
42,India Vs Zimbabwe,Zimbabwe,Bhuvneshwar Kumar,3,1,11,1,3.66,14,1,0,1,0
43,India Vs Zimbabwe,Zimbabwe,Arshdeep Singh,2,0,9,1,4.50,9,1,0,2,0
44,India Vs Zimbabwe,Zimbabwe,Mohammed Shami,2,0,14,2,7.00,7,1,1,0,0
45,India Vs Zimbabwe,Zimbabwe,Hardik Pandya,3,0,16,2,5.33,10,1,0,2,1
46,India Vs Zimbabwe,Zimbabwe,Ravichandran Ashwin,4,0,22,3,5.50,13,3,0,1,0
47,India Vs Zimbabwe,Zimbabwe,Axar Patel,3.2,0,40,1,12.00,4,5,1,0,0
48,Bangladesh Vs Pakistan,Bangladesh,Shaheen Shah Afridi,4,0,22,4,5.50,13,2,1,0,0
49,Bangladesh Vs Pakistan,Bangladesh,Naseem Shah,3,0,15,0,5.00,9,2,0,0,0
50,Bangladesh Vs Pakistan,Bangladesh,Mohammad Wasim,2,0,19,0,9.50,5,1,1,1,0
51,Bangladesh Vs Pakistan,Bangladesh,Haris Rauf,4,0,21,1,5.25,11,2,0,0,0
52,Bangladesh Vs Pakistan,Bangladesh,Shadab Khan,4,0,30,2,7.50,8,3,0,0,0
53,Bangladesh Vs Pakistan,Bangladesh,Iftikhar Ahmed,3,0,15,1,5.00,9,2,0,0,0
54,Bangladesh Vs Pakistan,Pakistan,Taskin Ahmed,3,0,26,0,8.66,10,1,2,0,1
55,Bangladesh Vs Pakistan,Pakistan,Nasum Ahmed,4,0,14,1,3.50,13,0,0,2,0
56,Bangladesh Vs Pakistan,Pakistan,Shakib Al Hasan,4,0,35,1,8.75,6,5,0,0,0
57,Bangladesh Vs Pakistan,Pakistan,Mustafizur Rahman,4,0,21,1,5.25,8,0,0,0,0
58,Bangladesh Vs Pakistan,Pakistan,Ebadot Hossain,3.1,0,25,1,7.89,7,1,1,0,1
59,Netherlands Vs South Africa,Netherlands,Wayne Parnell,4,0,32,0,8.00,10,2,2,1,0
60,Netherlands Vs South Africa,Netherlands,Kagiso Rabada,3,0,37,0,12.33,6,7,0,0,0
61,Netherlands Vs South Africa,Netherlands,Lungi Ngidi,3,0,35,0,11.66,3,5,0,0,0
62,Netherlands Vs South Africa,Netherlands,Anrich Nortje,4,0,10,1,2.50,14,0,0,0,0
63,Netherlands Vs South Africa,Netherlands,Keshav Maharaj,4,0,27,2,6.75,12,1,2,0,0
64,Netherlands Vs South Africa,Netherlands,Aiden Markram,2,0,16,1,8.00,3,0,1,1,0
65,Netherlands Vs South Africa,South Africa,Fred Klaassen,4,0,20,2,5.00,15,3,0,0,0
66,Netherlands Vs South Africa,South Africa,Paul van Meekeren,3,0,33,1,11.00,5,1,2,1,1
67,Netherlands Vs South Africa,South Africa,Colin Ackermann,3,0,16,0,5.33,6,1,0,0,0
68,Netherlands Vs South Africa,South Africa,Roelof van der Merwe,2,0,19,0,9.50,2,2,0,0,0
69,Netherlands Vs South Africa,South Africa,Brandon Glover,2,0,9,3,4.50,5,0,0,1,0
