,match,team,batting_Pos,batsman,out/not out,run,ball,m,fours,sixes,strike_rate
241,Australia Vs Ireland,Ireland,6,George Dockrell,b Starc,0,4,4,0,0,0.00
242,Australia Vs Ireland,Ireland,7,Gareth Delany,c Maxwell b Stoinis,14,10,27,2,0,140.00
243,Australia Vs Ireland,Ireland,8,Mark Adair,st †Wade b Zampa,11,11,13,1,0,100.00
244,Australia Vs Ireland,Ireland,9,Fionn Hand,b Zampa,6,6,10,1,0,100.00
245,Australia Vs Ireland,Ireland,10,Barry McCarthy,c sub (SPD Smith) b Cummins,3,7,16,0,0,42.85
246,Australia Vs Ireland,Ireland,11,Josh Little,run out (Marsh/Maxwell),1,5,6,0,0,20.00
247,India Vs South Africa,India,1,KL Rahul,c Markram b Ngidi,9,14,25,0,1,64.28
248,India Vs South Africa,India,2,Rohit Sharma (c),c & b Ngidi,15,14,22,1,1,107.14
249,India Vs South Africa,India,3,Virat Kohli,c Rabada b Ngidi,12,11,13,2,0,109.09
250,India Vs South Africa,India,4,Suryakumar Yadav,c Maharaj b Parnell,68,40,68,6,3,170.00
251,India Vs South Africa,India,5,Deepak Hooda,c †de Kock b Nortje,0,3,4,0,0,0.00
252,India Vs South Africa,India,6,Hardik Pandya,c Rabada b Ngidi,2,3,6,0,0,66.66
253,India Vs South Africa,India,7,Dinesh Karthik †,c Rossouw b Parnell,6,15,33,0,0,40.00
254,India Vs South Africa,India,8,Ravichandran Ashwin,c Rabada b Parnell,7,11,15,0,0,63.63
255,India Vs South Africa,India,9,Bhuvneshwar Kumar,not out,4,6,9,0,0,66.66
256,India Vs South Africa,India,10,Mohammed Shami,run out (Nortje),0,2,5,0,0,0.00
257,India Vs South Africa,India,11,Arshdeep Singh,not out,2,1,2,0,0,200.00
258,India Vs South Africa,South Africa,1,Quinton de Kock †,c Rahul b Arshdeep Singh,1,3,7,0,0,33.33
259,India Vs South Africa,South Africa,2,Temba Bavuma (c),c †Karthik b Mohammed Shami,10,15,30,0,1,66.66
260,India Vs South Africa,South Africa,3,Rilee Rossouw,lbw b Arshdeep Singh,0,2,4,0,0,0.00
261,India Vs South Africa,South Africa,4,Aiden Markram,c Yadav b Pandya,52,41,72,6,1,126.82
262,India Vs South Africa,South Africa,5,David Miller,not out,59,46,78,4,3,128.26
263,India Vs South Africa,South Africa,6,Tristan Stubbs,lbw b Ashwin,6,6,15,1,0,100.00
264,India Vs South Africa,South Africa,7,Wayne Parnell,not out,2,5,11,0,0,40.00
265,Netherlands Vs Pakistan,Netherlands,1,Stephan Myburgh,c Mohammad Wasim b Shaheen Shah Afridi,6,11,13,1,0,54.54
266,Netherlands Vs Pakistan,Netherlands,2,Max O'Dowd,lbw b Shadab Khan,8,13,41,0,0,61.53
267,Netherlands Vs Pakistan,Netherlands,3,Bas de Leede,retired hurt,6,16,15,1,0,37.50
268,Netherlands Vs Pakistan,Netherlands,4,Tom Cooper,c Mohammad Wasim b Shadab Khan,1,2,4,0,0,50.00
269,Netherlands Vs Pakistan,Netherlands,5,Colin Ackermann,lbw b Shadab Khan,27,27,40,2,0,100.00
270,Netherlands Vs Pakistan,Netherlands,6,Scott Edwards (c)†,c Iftikhar Ahmed b Naseem Shah,15,20,38,1,0,75.00
271,Netherlands Vs Pakistan,Netherlands,7,Roelof van der Merwe,b Haris Rauf,5,6,12,0,0,83.33
272,Netherlands Vs Pakistan,Netherlands,8,Tim Pringle,b Mohammad Wasim,5,8,15,0,0,62.50
273,Netherlands Vs Pakistan,Netherlands,9,Logan van Beek,not out,6,9,18,0,0,66.66
274,Netherlands Vs Pakistan,Netherlands,10,Fred Klaassen,b Mohammad Wasim,0,1,1,0,0,0.00
275,Netherlands Vs Pakistan,Netherlands,11,Paul van Meekeren,run out (Shadab Khan/†Mohammad Rizwan),7,7,8,0,0,100.00
276,Netherlands Vs Pakistan,Pakistan,1,Mohammad Rizwan †,c †Edwards b van Meekeren,49,39,66,5,0,125.64
277,Netherlands Vs Pakistan,Pakistan,2,Babar Azam (c),run out (van der Merwe),4,5,10,1,0,80.00
278,Netherlands Vs Pakistan,Pakistan,3,Fakhar Zaman,c †Edwards b Glover,20,16,27,3,0,125.00
279,Netherlands Vs Pakistan,Pakistan,4,Shan Masood,c van Meekeren b Glover,12,16,35,0,0,75.00
280,Netherlands Vs Pakistan,Pakistan,5,Iftikhar Ahmed,not out,6,5,10,0,0,120.00
281,Netherlands Vs Pakistan,Pakistan,6,Shadab Khan,not out,4,2,2,1,0,200.00
282,Bangladesh Vs Zimbabwe,Bangladesh,1,Najmul Hossain Shanto,c Ervine b Sikandar Raza,71,55,77,7,1,129.09
283,Bangladesh Vs Zimbabwe,Bangladesh,2,Soumya Sarkar,c †Chakabva b Muzarabani,0,2,9,0,0,0.00
284,Bangladesh Vs Zimbabwe,Bangladesh,3,Litton Das,c Chatara b Muzarabani,14,12,22,3,0,116.66
285,Bangladesh Vs Zimbabwe,Bangladesh,4,Shakib Al Hasan (c),c Muzarabani b Williams,23,20,32,1,0,115.00
286,Bangladesh Vs Zimbabwe,Bangladesh,5,Afif Hossain,lbw b Ngarava,29,19,40,1,1,152.63
287,Bangladesh Vs Zimbabwe,Bangladesh,6,Mosaddek Hossain,c Chatara b Ngarava,7,10,18,0,0,70.00
288,Bangladesh Vs Zimbabwe,Bangladesh,7,Nurul Hasan †,run out (Williams/†Chakabva),1,1,5,0,0,100.00
289,Bangladesh Vs Zimbabwe,Bangladesh,8,Yasir Ali,not out,1,1,3,0,0,100.00
290,Bangladesh Vs Zimbabwe,Zimbabwe,1,Wessly Madhevere,c Mustafizur Rahman b Taskin Ahmed,4,3,1,1,0,133.33
291,Bangladesh Vs Zimbabwe,Zimbabwe,2,Craig Ervine (c),c †Nurul Hasan b Taskin Ahmed,8,7,16,2,0,114.28
292,Bangladesh Vs Zimbabwe,Zimbabwe,3,Milton Shumba,c Shakib Al Hasan b Mustafizur Rahman,8,15,24,1,0,53.33
293,Bangladesh Vs Zimbabwe,Zimbabwe,4,Sean Williams,run out (Shakib Al Hasan),64,42,75,8,0,152.38
294,Bangladesh Vs Zimbabwe,Zimbabwe,5,Sikandar Raza,c Afif Hossain b Mustafizur Rahman,0,3,4,0,0,0.00
295,Bangladesh Vs Zimbabwe,Zimbabwe,6,Regis Chakabva †,c †Nurul Hasan b Taskin Ahmed,15,19,24,0,0,78.94
296,Bangladesh Vs Zimbabwe,Zimbabwe,7,Ryan Burl,not out,27,25,50,2,1,108.00
297,Bangladesh Vs Zimbabwe,Zimbabwe,8,Brad Evans,c Afif Hossain b Mosaddek Hossain,2,2,5,0,0,100.00
298,Bangladesh Vs Zimbabwe,Zimbabwe,9,Richard Ngarava,st †Nurul Hasan b Mosaddek Hossain,6,3,6,0,1,200.00
299,Bangladesh Vs Zimbabwe,Zimbabwe,10,Blessing Muzarabani,not out,0,2,6,0,0,0.00
300,New Zealand Vs Sri Lanka,New Zealand,1,Finn Allen,b Theekshana,1,3,3,0,0,33.33
301,New Zealand Vs Sri Lanka,New Zealand,2,Devon Conway †,b DM de Silva,1,4,14,0,0,25.00
302,New Zealand Vs Sri Lanka,New Zealand,3,Kane Williamson (c),c †Mendis b Rajitha,8,13,18,1,0,61.53
303,New Zealand Vs Sri Lanka,New Zealand,4,Glenn Phillips,c Shanaka b Kumara,104,64,87,10,4,162.50
304,New Zealand Vs Sri Lanka,New Zealand,5,Daryl Mitchell,b PWH de Silva,22,24,52,0,0,91.66
305,New Zealand Vs Sri Lanka,New Zealand,6,James Neesham,c Shanaka b Rajitha,5,8,15,0,0,62.50
306,New Zealand Vs Sri Lanka,New Zealand,7,Mitchell Santner,not out,11,5,17,0,1,220.00
307,New Zealand Vs Sri Lanka,New Zealand,8,Ish Sodhi,run out (sub [KNA Bandara]/†Mendis),1,1,3,0,0,100.00
308,New Zealand Vs Sri Lanka,New Zealand,9,Tim Southee,not out,4,1,1,1,0,400.00
309,New Zealand Vs Sri Lanka,Sri Lanka,1,Pathum Nissanka,lbw b Southee,0,5,5,0,0,0.00
310,New Zealand Vs Sri Lanka,Sri Lanka,2,Kusal Mendis †,c †Conway b Boult,4,3,9,1,0,133.33
311,New Zealand Vs Sri Lanka,Sri Lanka,3,Dhananjaya de Silva,b Boult,0,3,8,0,0,0.00
312,New Zealand Vs Sri Lanka,Sri Lanka,4,Charith Asalanka,c Allen b Boult,4,8,11,0,0,50.00
313,New Zealand Vs Sri Lanka,Sri Lanka,5,Bhanuka Rajapaksa,c Williamson b Ferguson,34,22,38,3,2,154.54
314,New Zealand Vs Sri Lanka,Sri Lanka,6,Chamika Karunaratne,c Boult b Santner,3,8,13,0,0,37.50
315,New Zealand Vs Sri Lanka,Sri Lanka,7,Dasun Shanaka (c),c Mitchell b Boult,35,32,49,4,1,109.37
316,New Zealand Vs Sri Lanka,Sri Lanka,8,Wanindu Hasaranga,c Williamson b Sodhi,4,6,6,1,0,66.66
317,New Zealand Vs Sri Lanka,Sri Lanka,9,Maheesh Theekshana,c Neesham b Santner,0,3,5,0,0,0.00
318,New Zealand Vs Sri Lanka,Sri Lanka,10,Kasun Rajitha,not out,8,21,30,0,0,38.09
319,New Zealand Vs Sri Lanka,Sri Lanka,11,Lahiru Kumara,st †Conway b Sodhi,4,5,10,1,0,80.00
320,Zimbabwe Vs Pakistan,Zimbabwe,1,Wessly Madhevere,lbw b Mohammad Wasim,17,13,30,3,0,130.76
321,Zimbabwe Vs Pakistan,Zimbabwe,2,Craig Ervine (c),c Mohammad Wasim b Haris Rauf,19,19,26,2,0,100.00
322,Zimbabwe Vs Pakistan,Zimbabwe,3,Milton Shumba,c & b Shadab Khan,8,10,22,1,0,80.00
323,Zimbabwe Vs Pakistan,Zimbabwe,4,Sean Williams,b Shadab Khan,31,28,37,3,0,110.71
324,Zimbabwe Vs Pakistan,Zimbabwe,5,Sikandar Raza,c Haris Rauf b Mohammad Wasim,9,16,22,1,0,56.25
325,Zimbabwe Vs Pakistan,Zimbabwe,6,Regis Chakabva †,c Babar Azam b Shadab Khan,0,1,2,0,0,0.00
326,Zimbabwe Vs Pakistan,Zimbabwe,7,Ryan Burl,not out,10,15,30,0,0,66.66
327,Zimbabwe Vs Pakistan,Zimbabwe,8,Luke Jongwe,b Mohammad Wasim,0,1,2,0,0,0.00
328,Zimbabwe Vs Pakistan,Zimbabwe,9,Brad Evans,b Mohammad Wasim,19,15,24,0,1,126.66
329,Zimbabwe Vs Pakistan,Zimbabwe,10,Richard Ngarava,not out,3,2,3,0,0,150.00
330,Zimbabwe Vs Pakistan,Pakistan,1,Mohammad Rizwan †,b Muzarabani,14,16,23,1,1,87.50
331,Zimbabwe Vs Pakistan,Pakistan,2,Babar Azam (c),c Burl b Evans,4,9,17,1,0,44.44
332,Zimbabwe Vs Pakistan,Pakistan,3,Shan Masood,st †Chakabva b Sikandar Raza,44,38,61,3,0,115.78
333,Zimbabwe Vs Pakistan,Pakistan,4,Iftikhar Ahmed,c †Chakabva b Jongwe,5,10,16,1,0,50.00
334,Zimbabwe Vs Pakistan,Pakistan,5,Shadab Khan,c Williams b Sikandar Raza,17,14,27,0,1,121.42
335,Zimbabwe Vs Pakistan,Pakistan,6,Haider Ali,lbw b Sikandar Raza,0,1,3,0,0,0.00
336,Zimbabwe Vs Pakistan,Pakistan,7,Mohammad Nawaz,c Ervine b Evans,22,18,36,1,1,122.22
337,Zimbabwe Vs Pakistan,Pakistan,8,Mohammad Wasim,not out,12,13,29,2,0,92.30
338,Zimbabwe Vs Pakistan,Pakistan,9,Shaheen Shah Afridi,run out (Sikandar Raza/†Chakabva),1,1,3,0,0,100.00
339,India Vs Netherlands,India,1,KL Rahul,lbw b van Meekeren,9,12,12,1,0,75.00
340,India Vs Netherlands,India,2,Rohit Sharma (c),c Ackermann b Klaassen,53,39,53,4,3,135.89
341,India Vs Netherlands,India,3,Virat Kohli,not out,62,44,79,3,2,140.90
342,India Vs Netherlands,India,4,Suryakumar Yadav,not out,51,25,38,7,1,204.00
343,India Vs Netherlands,Netherlands,1,Vikramjit Singh,b Kumar,1,9,13,0,0,11.11
344,India Vs Netherlands,Netherlands,2,Max O'Dowd,b Patel,16,10,22,3,0,160.00
345,India Vs Netherlands,Netherlands,3,Bas de Leede,c Pandya b Patel,16,23,27,0,0,69.56
346,India Vs Netherlands,Netherlands,4,Colin Ackermann,c Patel b Ashwin,17,21,31,1,0,80.95
347,India Vs Netherlands,Netherlands,5,Tom Cooper,c sub (DJ Hooda) b Ashwin,9,12,12,0,0,75.00
348,India Vs Netherlands,Netherlands,6,Scott Edwards (c)†,c sub (DJ Hooda) b Kumar,5,8,21,0,0,62.50
349,India Vs Netherlands,Netherlands,7,Tim Pringle,c Kohli b Mohammed Shami,20,15,14,1,1,133.33
350,India Vs Netherlands,Netherlands,8,Logan van Beek,c †Karthik b Arshdeep Singh,3,5,11,0,0,60.00
351,India Vs Netherlands,Netherlands,9,Shariz Ahmad,not out,16,11,18,2,0,145.45
352,India Vs Netherlands,Netherlands,10,Fred Klaassen,lbw b Arshdeep Singh,0,1,3,0,0,0.00
353,India Vs Netherlands,Netherlands,11,Paul van Meekeren,not out,14,6,9,3,0,233.33
354,South Africa Vs Bangladesh,South Africa,1,Temba Bavuma (c),c †Nurul Hasan b Taskin Ahmed,2,6,6,0,0,33.33
355,South Africa Vs Bangladesh,South Africa,2,Quinton de Kock †,c Soumya Sarkar b Afif Hossain,63,38,77,7,3,165.78
356,South Africa Vs Bangladesh,South Africa,3,Rilee Rossouw,c Litton Das b Shakib Al Hasan,109,56,90,7,8,194.64
357,South Africa Vs Bangladesh,South Africa,4,Tristan Stubbs,c Litton Das b Shakib Al Hasan,7,7,9,1,0,100.00
358,South Africa Vs Bangladesh,South Africa,5,Aiden Markram,c Soumya Sarkar b Hasan Mahmud,10,11,16,1,0,90.90
359,South Africa Vs Bangladesh,South Africa,6,David Miller,not out,2,4,8,0,0,50.00
360,South Africa Vs Bangladesh,South Africa,7,Wayne Parnell,not out,0,2,2,0,0,0.00
361,South Africa Vs Bangladesh,Bangladesh,1,Najmul Hossain Shanto,b Nortje,9,9,15,1,0,100.00
362,South Africa Vs Bangladesh,Bangladesh,2,Soumya Sarkar,c †de Kock b Nortje,15,6,11,0,2,250.00
363,South Africa Vs Bangladesh,Bangladesh,3,Litton Das,c Stubbs b Shamsi,34,31,57,1,1,109.67
364,South Africa Vs Bangladesh,Bangladesh,4,Shakib Al Hasan (c),lbw b Nortje,1,4,11,0,0,25.00
365,South Africa Vs Bangladesh,Bangladesh,5,Afif Hossain,c Parnell b Rabada,1,5,8,0,0,20.00
366,South Africa Vs Bangladesh,Bangladesh,6,Mehidy Hasan Miraz,c Markram b Shamsi,11,13,17,0,0,84.61
367,South Africa Vs Bangladesh,Bangladesh,7,Mosaddek Hossain,st †de Kock b Maharaj,0,3,4,0,0,0.00
368,South Africa Vs Bangladesh,Bangladesh,8,Nurul Hasan †,c Nortje b Shamsi,2,6,7,0,0,33.33
369,South Africa Vs Bangladesh,Bangladesh,9,Taskin Ahmed,b Nortje,10,17,22,1,0,58.82
370,South Africa Vs Bangladesh,Bangladesh,10,Hasan Mahmud,run out (Rabada),0,2,7,0,0,0.00
371,South Africa Vs Bangladesh,Bangladesh,11,Mustafizur Rahman,not out,9,3,8,0,1,300.00
372,Ireland Vs England,Ireland,1,Paul Stirling,c Curran b Wood,14,8,16,1,1,175.00
373,Ireland Vs England,Ireland,2,Andy Balbirnie (c),c Hales b Livingstone,62,47,74,5,2,131.91
374,Ireland Vs England,Ireland,3,Lorcan Tucker †,run out (Rashid),34,27,42,3,1,125.92
375,Ireland Vs England,Ireland,4,Harry Tector,c †Buttler b Wood,0,2,3,0,0,0.00
376,Ireland Vs England,Ireland,5,Curtis Campher,c †Buttler b Wood,18,11,22,3,0,163.63
377,Ireland Vs England,Ireland,6,George Dockrell,b Livingstone,0,1,2,0,0,0.00
378,Ireland Vs England,Ireland,7,Gareth Delany,not out,12,10,22,1,0,120.00
379,Ireland Vs England,Ireland,8,Mark Adair,c Curran b Livingstone,4,4,8,0,0,100.00
380,Ireland Vs England,Ireland,9,Barry McCarthy,b Curran,3,3,4,0,0,100.00
381,Ireland Vs England,Ireland,10,Fionn Hand,b Curran,1,2,4,0,0,50.00
382,Ireland Vs England,Ireland,11,Josh Little,c †Buttler b Stokes,0,1,3,0,0,0.00
383,Ireland Vs England,England,1,Jos Buttler (c)†,c †Tucker b Little,0,2,3,0,0,0.00
384,Ireland Vs England,England,2,Alex Hales,c Adair b Little,7,5,14,1,0,140.00
385,Ireland Vs England,England,3,Dawid Malan,c Hand b McCarthy,35,37,66,2,0,94.59
386,Ireland Vs England,England,4,Ben Stokes,b Hand,6,8,14,0,0,75.00
387,Ireland Vs England,England,5,Harry Brook,c Delany b Dockrell,18,21,30,1,0,85.71
388,Ireland Vs England,England,6,Moeen Ali,not out,24,12,18,3,1,200.00
389,Ireland Vs England,England,7,Liam Livingstone,not out,1,2,7,0,0,50.00
390,Sri Lanka Vs Australia,Sri Lanka,1,Pathum Nissanka,run out (Marsh/†Wade),40,45,65,2,0,88.88
391,Sri Lanka Vs Australia,Sri Lanka,2,Kusal Mendis †,c Marsh b Cummins,5,6,9,1,0,83.33
392,Sri Lanka Vs Australia,Sri Lanka,3,Dhananjaya de Silva,c Warner b Agar,26,23,47,3,0,113.04
393,Sri Lanka Vs Australia,Sri Lanka,4,Charith Asalanka,not out,38,25,45,3,2,152.00
394,Sri Lanka Vs Australia,Sri Lanka,5,Bhanuka Rajapaksa,c Cummins b Starc,7,5,9,1,0,140.00
395,Sri Lanka Vs Australia,Sri Lanka,6,Dasun Shanaka (c),c †Wade b Maxwell,3,5,6,0,0,60.00
396,Sri Lanka Vs Australia,Sri Lanka,7,Wanindu Hasaranga,c †Wade b Hazlewood,1,4,8,0,0,25.00
397,Sri Lanka Vs Australia,Sri Lanka,8,Chamika Karunaratne,not out,14,7,16,2,0,200.00
398,Sri Lanka Vs Australia,Australia,1,David Warner,c Shanaka b Theekshana,11,10,26,0,0,110.00
399,Sri Lanka Vs Australia,Australia,2,Aaron Finch (c),not out,31,42,89,0,1,73.80
400,Sri Lanka Vs Australia,Australia,3,Mitchell Marsh,c Rajapaksa b DM de Silva,17,17,20,1,1,100.00
401,Sri Lanka Vs Australia,Australia,4,Glenn Maxwell,c sub (KNA Bandara) b Karunaratne,23,12,21,2,2,191.66
402,Sri Lanka Vs Australia,Australia,5,Marcus Stoinis,not out,59,18,22,4,6,327.77
403,Zimbabwe Vs South Africa,Zimbabwe,1,Regis Chakabva †,c †de Kock b Ngidi,8,8,13,0,1,100.00
404,Zimbabwe Vs South Africa,Zimbabwe,2,Craig Ervine (c),c Ngidi b Parnell,2,6,11,0,0,33.33
405,Zimbabwe Vs South Africa,Zimbabwe,3,Sean Williams,run out (Miller),1,1,10,0,0,100.00
406,Zimbabwe Vs South Africa,Zimbabwe,4,Sikandar Raza,c †de Kock b Ngidi,0,2,3,0,0,0.00
407,Zimbabwe Vs South Africa,Zimbabwe,5,Wessly Madhevere,not out,35,18,37,4,1,194.44
408,Zimbabwe Vs South Africa,Zimbabwe,6,Milton Shumba,c †de Kock b Nortje,18,20,32,2,0,90.00
409,Zimbabwe Vs South Africa,South Africa,1,Quinton de Kock †,not out,47,18,26,8,1,261.11
410,Zimbabwe Vs South Africa,South Africa,2,Temba Bavuma (c),not out,2,2,26,0,0,100.00
411,Bangladesh Vs Netherlands,Bangladesh,1,Najmul Hossain Shanto,c van Beek b Pringle,25,20,31,4,0,125.00
412,Bangladesh Vs Netherlands,Bangladesh,2,Soumya Sarkar,c de Leede b van Meekeren,14,14,24,2,0,100.00
413,Bangladesh Vs Netherlands,Bangladesh,3,Litton Das,c Cooper b van Beek,9,11,17,0,0,81.81
414,Bangladesh Vs Netherlands,Bangladesh,4,Shakib Al Hasan (c),c de Leede b Shariz Ahmad,7,9,14,0,0,77.77
415,Bangladesh Vs Netherlands,Bangladesh,5,Afif Hossain,c †Edwards b de Leede,38,27,47,2,2,140.74
416,Bangladesh Vs Netherlands,Bangladesh,6,Yasir Ali,b van Meekeren,3,5,9,0,0,60.00
417,Bangladesh Vs Netherlands,Bangladesh,7,Nurul Hasan †,c van Meekeren b de Leede,13,18,28,0,0,72.22
418,Bangladesh Vs Netherlands,Bangladesh,8,Mosaddek Hossain,not out,20,12,12,2,1,166.66
419,Bangladesh Vs Netherlands,Bangladesh,9,Taskin Ahmed,c van Beek b Klaassen,0,1,3,0,0,0.00
420,Bangladesh Vs Netherlands,Bangladesh,10,Hasan Mahmud,not out,0,3,6,0,0,0.00
421,Bangladesh Vs Netherlands,Netherlands,1,Vikramjit Singh,c Yasir Ali b Taskin Ahmed,0,1,4,0,0,0.00
422,Bangladesh Vs Netherlands,Netherlands,2,Max O'Dowd,run out (Afif Hossain/Shakib Al Hasan),8,8,21,0,1,100.00
423,Bangladesh Vs Netherlands,Netherlands,3,Bas de Leede,c †Nurul Hasan b Taskin Ahmed,0,1,2,0,0,0.00
424,Bangladesh Vs Netherlands,Netherlands,4,Colin Ackermann,c Mosaddek Hossain b Taskin Ahmed,62,48,77,6,2,129.16
425,Bangladesh Vs Netherlands,Netherlands,5,Tom Cooper,run out (Najmul Hossain Shanto/†Nurul Hasan),0,0,2,0,0,-
426,Bangladesh Vs Netherlands,Netherlands,6,Scott Edwards (c)†,c Hasan Mahmud b Shakib Al Hasan,16,24,33,1,0,66.66
427,Bangladesh Vs Netherlands,Netherlands,7,Tim Pringle,b Hasan Mahmud,1,6,5,0,0,16.66
428,Bangladesh Vs Netherlands,Netherlands,8,Logan van Beek,c Taskin Ahmed b Hasan Mahmud,2,5,9,0,0,40.00
429,Bangladesh Vs Netherlands,Netherlands,9,Shariz Ahmad,c Hasan Mahmud b Taskin Ahmed,9,8,9,1,0,112.50
430,Bangladesh Vs Netherlands,Netherlands,10,Fred Klaassen,not out,7,6,20,0,0,116.66
431,Bangladesh Vs Netherlands,Netherlands,11,Paul van Meekeren,c Litton Das b Soumya Sarkar,24,14,16,3,1,171.42
432,Pakistan Vs India,Pakistan,1,Mohammad Rizwan †,c Kumar b Arshdeep Singh,4,12,25,1,0,33.33
433,Pakistan Vs India,Pakistan,2,Babar Azam (c),lbw b Arshdeep Singh,0,1,10,0,0,0.00
434,Pakistan Vs India,Pakistan,3,Shan Masood,not out,52,42,101,5,0,123.80
435,Pakistan Vs India,Pakistan,4,Iftikhar Ahmed,lbw b Mohammed Shami,51,34,43,2,4,150.00
436,Pakistan Vs India,Pakistan,5,Shadab Khan,c Yadav b Pandya,5,6,6,1,0,83.33
437,Pakistan Vs India,Pakistan,6,Haider Ali,c Yadav b Pandya,2,4,6,0,0,50.00
438,Pakistan Vs India,Pakistan,7,Mohammad Nawaz,c †Karthik b Pandya,9,6,12,2,0,150.00
439,Pakistan Vs India,Pakistan,8,Asif Ali,c †Karthik b Arshdeep Singh,2,3,6,0,0,66.66
440,Pakistan Vs India,Pakistan,9,Shaheen Shah Afridi,c & b Kumar,16,8,17,1,1,200.00
441,Pakistan Vs India,Pakistan,10,Haris Rauf,not out,6,4,3,0,1,150.00
442,Pakistan Vs India,India,1,KL Rahul,b Naseem Shah,4,8,13,0,0,50.00
443,Pakistan Vs India,India,2,Rohit Sharma (c),c Iftikhar Ahmed b Haris Rauf,4,7,20,0,0,57.14
444,Pakistan Vs India,India,3,Virat Kohli,not out,82,53,98,6,4,154.71
445,Pakistan Vs India,India,4,Suryakumar Yadav,c †Mohammad Rizwan b Haris Rauf,15,10,11,2,0,150.00
446,Pakistan Vs India,India,5,Axar Patel,run out (Babar Azam/†Mohammad Rizwan),2,3,7,0,0,66.66
447,Pakistan Vs India,India,6,Hardik Pandya,c Babar Azam b Mohammad Nawaz,40,37,61,1,2,108.10
448,Pakistan Vs India,India,7,Dinesh Karthik †,st †Mohammad Rizwan b Mohammad Nawaz,1,2,10,0,0,50.00
449,Pakistan Vs India,India,8,Ravichandran Ashwin,not out,1,1,2,0,0,100.00
450,Ireland Vs Sri Lanka,Ireland,1,Paul Stirling,c Rajapaksa b DM de Silva,34,25,45,4,1,136.00
451,Ireland Vs Sri Lanka,Ireland,2,Andy Balbirnie (c),b Kumara,1,5,7,0,0,20.00
452,Ireland Vs Sri Lanka,Ireland,3,Lorcan Tucker †,b Theekshana,10,11,20,1,0,90.90
453,Ireland Vs Sri Lanka,Ireland,4,Harry Tector,c Shanaka b Fernando,45,42,59,2,1,107.14
454,Ireland Vs Sri Lanka,Ireland,5,Curtis Campher,c Asalanka b Karunaratne,2,4,6,0,0,50.00
455,Ireland Vs Sri Lanka,Ireland,6,George Dockrell,b Theekshana,14,16,25,0,0,87.50
456,Ireland Vs Sri Lanka,Ireland,7,Gareth Delany,c Karunaratne b PWH de Silva,9,6,10,1,0,150.00
457,Ireland Vs Sri Lanka,Ireland,8,Mark Adair,c Karunaratne b PWH de Silva,0,1,5,0,0,0.00
458,Ireland Vs Sri Lanka,Ireland,9,Simi Singh,not out,7,8,9,1,0,87.50
459,Ireland Vs Sri Lanka,Ireland,10,Barry McCarthy,not out,2,2,7,0,0,100.00
460,Ireland Vs Sri Lanka,Sri Lanka,1,Kusal Mendis †,not out,68,43,68,5,3,158.13
461,Ireland Vs Sri Lanka,Sri Lanka,2,Dhananjaya de Silva,c †Tucker b Delany,31,25,35,2,1,124.00
462,Ireland Vs Sri Lanka,Sri Lanka,3,Charith Asalanka,not out,31,22,33,2,0,140.90
463,Afghanistan Vs England,Afghanistan,1,Hazratullah Zazai,c Livingstone b Stokes,7,17,31,1,0,41.17
464,Afghanistan Vs England,Afghanistan,2,Rahmanullah Gurbaz †,c †Buttler b Wood,10,9,13,0,1,111.11
465,Afghanistan Vs England,Afghanistan,3,Ibrahim Zadran,c Ali b Curran,32,32,41,3,1,100.00
466,Afghanistan Vs England,Afghanistan,4,Usman Ghani,c Livingstone b Curran,30,30,60,3,0,100.00
467,Afghanistan Vs England,Afghanistan,5,Najibullah Zadran,c Rashid b Stokes,13,11,15,0,1,118.18
468,Afghanistan Vs England,Afghanistan,6,Mohammad Nabi (c),c †Buttler b Wood,3,5,7,0,0,60.00
469,Afghanistan Vs England,Afghanistan,7,Azmatullah Omarzai,c Stokes b Curran,8,6,11,1,0,133.33
470,Afghanistan Vs England,Afghanistan,8,Rashid Khan,c Hales b Curran,0,1,2,0,0,0.00
471,Afghanistan Vs England,Afghanistan,9,Mujeeb Ur Rahman,c & b Woakes,0,1,3,0,0,0.00
472,Afghanistan Vs England,Afghanistan,10,Fareed Ahmad,not out,2,4,7,0,0,50.00
473,Afghanistan Vs England,Afghanistan,11,Fazalhaq Farooqi,c Malan b Curran,0,2,3,0,0,0.00
474,Afghanistan Vs England,England,1,Jos Buttler (c)†,c Mujeeb Ur Rahman b Fazalhaq Farooqi,18,18,25,3,0,100.00
475,Afghanistan Vs England,England,2,Alex Hales,c Fazalhaq Farooqi b Fareed Ahmad,19,20,41,0,1,95.00
476,Afghanistan Vs England,England,3,Dawid Malan,c Mohammad Nabi b Mujeeb Ur Rahman,18,30,40,0,0,60.00
477,Afghanistan Vs England,England,4,Ben Stokes,b Mohammad Nabi,2,4,11,0,0,50.00
478,Afghanistan Vs England,England,5,Liam Livingstone,not out,29,21,34,3,0,138.09
479,Afghanistan Vs England,England,6,Harry Brook,c Ibrahim Zadran b Rashid Khan,7,6,9,0,0,116.66
480,Afghanistan Vs England,England,7,Moeen Ali,not out,8,10,13,0,0,80.00
481,New Zealand Vs Australia,New Zealand,1,Finn Allen,b Hazlewood,42,16,24,5,3,262.50
482,New Zealand Vs Australia,New Zealand,2,Devon Conway †,not out,92,58,106,7,2,158.62
483,New Zealand Vs Australia,New Zealand,3,Kane Williamson (c),lbw b Zampa,23,23,48,1,1,100.00
