,match,team,batting_Pos,batsman,out/not out,run,ball,m,fours,sixes,strike_rate
89,Sri Lanka Vs England,Sri Lanka,2,Kusal Mendis †,c Livingstone b Woakes,18,14,21,1,1,128.57
90,Sri Lanka Vs England,Sri Lanka,3,Dhananjaya de Silva,c Stokes b Curran,9,11,17,0,0,81.81
91,Sri Lanka Vs England,Sri Lanka,4,Charith Asalanka,c Malan b Stokes,8,9,15,0,0,88.88
92,Sri Lanka Vs England,Sri Lanka,5,Bhanuka Rajapaksa,c Curran b Wood,22,22,41,3,0,100.00
93,Sri Lanka Vs England,Sri Lanka,6,Dasun Shanaka (c),c †Buttler b Wood,3,8,12,0,0,37.50
94,Sri Lanka Vs England,Sri Lanka,7,Wanindu Hasaranga,run out (†Buttler/Wood),9,9,13,1,0,100.00
95,Sri Lanka Vs England,Sri Lanka,8,Chamika Karunaratne,c Hales b Wood,0,2,3,0,0,0.00
96,Sri Lanka Vs England,Sri Lanka,9,Maheesh Theekshana,not out,0,0,2,0,0,-
97,Sri Lanka Vs England,England,1,Jos Buttler (c)†,c Karunaratne b PWH de Silva,28,23,35,2,1,121.73
98,Sri Lanka Vs England,England,2,Alex Hales,c & b PWH de Silva,47,30,42,7,1,156.66
99,Sri Lanka Vs England,England,3,Ben Stokes,not out,42,36,59,2,0,116.66
100,Sri Lanka Vs England,England,4,Harry Brook,c & b DM de Silva,4,5,9,0,0,80.00
101,Sri Lanka Vs England,England,5,Liam Livingstone,c DM de Silva b Kumara,4,6,10,0,0,66.66
102,Sri Lanka Vs England,England,6,Moeen Ali,c Shanaka b DM de Silva,1,5,8,0,0,20.00
103,Sri Lanka Vs England,England,7,Sam Curran,c Rajitha b Kumara,6,11,16,0,0,54.54
104,Sri Lanka Vs England,England,8,Chris Woakes,not out,5,3,11,1,0,166.66
105,Australia Vs Afghanistan,Australia,1,David Warner,b Naveen-ul-Haq,25,18,28,5,0,138.88
106,Australia Vs Afghanistan,Australia,2,Cameron Green,c Gulbadin Naib b Fazalhaq Farooqi,3,2,12,0,0,150.00
107,Australia Vs Afghanistan,Australia,3,Mitchell Marsh,c †Rahmanullah Gurbaz b Mujeeb Ur Rahman,45,30,42,3,2,150.00
108,Australia Vs Afghanistan,Australia,4,Steven Smith,lbw b Naveen-ul-Haq,4,4,6,1,0,100.00
109,Australia Vs Afghanistan,Australia,5,Marcus Stoinis,c Usman Ghani b Rashid Khan,25,21,41,0,2,119.04
110,Australia Vs Afghanistan,Australia,6,Glenn Maxwell,not out,54,32,46,6,2,168.75
111,Australia Vs Afghanistan,Australia,7,Matthew Wade (c)†,b Fazalhaq Farooqi,6,8,14,1,0,75.00
112,Australia Vs Afghanistan,Australia,8,Pat Cummins,c Rashid Khan b Naveen-ul-Haq,0,2,4,0,0,0.00
113,Australia Vs Afghanistan,Australia,9,Kane Richardson,run out (Naveen-ul-Haq),1,1,6,0,0,100.00
114,Australia Vs Afghanistan,Australia,10,Adam Zampa,not out,1,1,5,0,0,100.00
115,Australia Vs Afghanistan,Afghanistan,1,Rahmanullah Gurbaz †,c Warner b Richardson,30,17,31,2,2,176.47
116,Australia Vs Afghanistan,Afghanistan,2,Usman Ghani,c Cummins b Hazlewood,2,7,16,0,0,28.57
117,Australia Vs Afghanistan,Afghanistan,3,Ibrahim Zadran,c Marsh b Zampa,26,33,55,2,0,78.78
118,Australia Vs Afghanistan,Afghanistan,4,Gulbadin Naib,run out (Maxwell),39,23,38,3,2,169.56
119,Australia Vs Afghanistan,Afghanistan,5,Mohammad Nabi (c),c Warner b Hazlewood,1,2,10,0,0,50.00
120,Australia Vs Afghanistan,Afghanistan,6,Najibullah Zadran,c Maxwell b Zampa,0,2,3,0,0,0.00
121,Australia Vs Afghanistan,Afghanistan,7,Darwish Rasooli,run out (†Wade/Stoinis),15,13,28,1,0,115.38
122,Australia Vs Afghanistan,Afghanistan,8,Rashid Khan,not out,48,23,27,3,4,208.69
123,Australia Vs Afghanistan,Afghanistan,9,Naveen-ul-Haq,not out,0,0,4,0,0,-
124,New Zealand Vs Ireland,New Zealand,1,Finn Allen,c Hand b Adair,32,18,30,5,1,177.77
125,New Zealand Vs Ireland,New Zealand,2,Devon Conway †,c Adair b Delany,28,33,55,2,0,84.84
126,New Zealand Vs Ireland,New Zealand,3,Kane Williamson (c),c Delany b Little,61,35,59,5,3,174.28
127,New Zealand Vs Ireland,New Zealand,4,Glenn Phillips,c Dockrell b Delany,17,9,9,2,1,188.88
128,New Zealand Vs Ireland,New Zealand,5,Daryl Mitchell,not out,31,21,35,2,0,147.61
129,New Zealand Vs Ireland,New Zealand,6,James Neesham,lbw b Little,0,1,3,0,0,0.00
130,New Zealand Vs Ireland,New Zealand,7,Mitchell Santner,lbw b Little,0,1,2,0,0,0.00
131,New Zealand Vs Ireland,New Zealand,8,Tim Southee,not out,1,2,7,0,0,50.00
132,New Zealand Vs Ireland,Ireland,1,Paul Stirling,b Sodhi,37,27,39,3,1,137.03
133,New Zealand Vs Ireland,Ireland,2,Andy Balbirnie (c),b Santner,30,25,36,0,3,120.00
134,New Zealand Vs Ireland,Ireland,3,Lorcan Tucker †,c Allen b Sodhi,13,14,30,0,0,92.85
135,New Zealand Vs Ireland,Ireland,4,Harry Tector,c Southee b Santner,2,7,4,0,0,28.57
136,New Zealand Vs Ireland,Ireland,5,Gareth Delany,c †Conway b Ferguson,10,8,12,2,0,125.00
137,New Zealand Vs Ireland,Ireland,6,George Dockrell,c Williamson b Ferguson,23,15,24,3,0,153.33
138,New Zealand Vs Ireland,Ireland,7,Curtis Campher,c Allen b Southee,7,7,10,1,0,100.00
139,New Zealand Vs Ireland,Ireland,8,Fionn Hand,c & b Ferguson,5,3,7,1,0,166.66
140,New Zealand Vs Ireland,Ireland,9,Mark Adair,c Phillips b Southee,4,5,9,0,0,80.00
141,New Zealand Vs Ireland,Ireland,10,Barry McCarthy,not out,6,5,10,0,0,120.00
142,New Zealand Vs Ireland,Ireland,11,Josh Little,not out,8,4,3,0,1,200.00
143,Pakistan Vs South Africa,Pakistan,1,Mohammad Rizwan †,b Parnell,4,4,4,1,0,100.00
144,Pakistan Vs South Africa,Pakistan,2,Babar Azam (c),c Rabada b Ngidi,6,15,29,0,0,40.00
145,Pakistan Vs South Africa,Pakistan,3,Mohammad Haris,lbw b Nortje,28,11,19,2,3,254.54
146,Pakistan Vs South Africa,Pakistan,4,Shan Masood,c Bavuma b Nortje,2,6,11,0,0,33.33
147,Pakistan Vs South Africa,Pakistan,5,Iftikhar Ahmed,c Rossouw b Rabada,51,35,73,3,2,145.71
148,Pakistan Vs South Africa,Pakistan,6,Mohammad Nawaz,lbw b Shamsi,28,22,32,4,1,127.27
149,Pakistan Vs South Africa,Pakistan,7,Shadab Khan,c Stubbs b Nortje,52,22,31,3,4,236.36
150,Pakistan Vs South Africa,Pakistan,8,Mohammad Wasim,c Bavuma b Nortje,0,1,1,0,0,0.00
151,Pakistan Vs South Africa,Pakistan,9,Naseem Shah,not out,5,3,3,0,0,166.66
152,Pakistan Vs South Africa,Pakistan,10,Haris Rauf,run out (Klaasen/Bavuma),3,2,2,0,0,150.00
153,Pakistan Vs South Africa,South Africa,1,Temba Bavuma (c),c †Mohammad Rizwan b Shadab Khan,36,19,39,4,1,189.47
154,Pakistan Vs South Africa,South Africa,2,Quinton de Kock †,c Mohammad Haris b Shaheen Shah Afridi,0,5,6,0,0,0.00
155,Pakistan Vs South Africa,South Africa,3,Rilee Rossouw,c Naseem Shah b Shaheen Shah Afridi,7,6,10,0,1,116.66
156,Pakistan Vs South Africa,South Africa,4,Aiden Markram,b Shadab Khan,20,14,28,4,0,142.85
157,Pakistan Vs South Africa,South Africa,5,Heinrich Klaasen,c Mohammad Wasim b Shaheen Shah Afridi,15,9,18,3,0,166.66
158,Pakistan Vs South Africa,South Africa,6,Tristan Stubbs,c Mohammad Nawaz b Naseem Shah,18,18,28,0,1,100.00
159,Pakistan Vs South Africa,South Africa,7,Wayne Parnell,lbw b Mohammad Wasim,3,4,9,0,0,75.00
160,Pakistan Vs South Africa,South Africa,8,Kagiso Rabada,run out (Mohammad Nawaz/Haris Rauf),1,2,11,0,0,50.00
161,Pakistan Vs South Africa,South Africa,9,Anrich Nortje,c Mohammad Haris b Haris Rauf,1,5,8,0,0,20.00
162,Pakistan Vs South Africa,South Africa,10,Lungi Ngidi,not out,4,1,5,1,0,400.00
163,Pakistan Vs South Africa,South Africa,11,Tabraiz Shamsi,not out,1,1,3,0,0,100.00
164,India Vs Bangladesh,India,1,KL Rahul,c Mustafizur Rahman b Shakib Al Hasan,50,32,49,3,4,156.25
165,India Vs Bangladesh,India,2,Rohit Sharma (c),c Yasir Ali b Hasan Mahmud,2,8,18,0,0,25.00
166,India Vs Bangladesh,India,3,Virat Kohli,not out,64,44,84,8,1,145.45
167,India Vs Bangladesh,India,4,Suryakumar Yadav,b Shakib Al Hasan,30,16,18,4,0,187.50
168,India Vs Bangladesh,India,5,Hardik Pandya,c Yasir Ali b Hasan Mahmud,5,6,8,0,0,83.33
169,India Vs Bangladesh,India,6,Dinesh Karthik †,run out (Shakib Al Hasan/Shoriful Islam),7,5,12,1,0,140.00
170,India Vs Bangladesh,India,7,Axar Patel,c Shakib Al Hasan b Hasan Mahmud,7,6,6,1,0,116.66
171,India Vs Bangladesh,India,8,Ravichandran Ashwin,not out,13,6,9,1,1,216.66
172,India Vs Bangladesh,Bangladesh,1,Najmul Hossain Shanto,c Yadav b Mohammed Shami,21,25,50,1,1,84.00
173,India Vs Bangladesh,Bangladesh,2,Litton Das,run out (Rahul),60,27,40,7,3,222.22
174,India Vs Bangladesh,Bangladesh,3,Shakib Al Hasan (c),c sub (DJ Hooda) b Arshdeep Singh,13,12,24,2,0,108.33
175,India Vs Bangladesh,Bangladesh,4,Afif Hossain,c Yadav b Arshdeep Singh,3,5,12,0,0,60.00
